Citation,White,Black,Hispanic,Situational Vulnerability,Indigenous,Indian,First Nation,M̩tis,Metis,Inuit,reserve,American Indian,Alaska Native,Enrolled Tribe,Principal Tribe,Native Hawaiian,Samoan,Chamorro,Pacific Islander
"Abercrombie et al., 2008",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allain & Collins, 2021",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
"Allain et al., 2025",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"Allen et al., 2013",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Almeter et al., 2018",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminipouri et al., 2016",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anderson et al., 2023",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anguelovski et al., 2022",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anguelovski et al., 2024",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anoh & Xia, 1996",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apparicio et al., 2016",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ashraf & Lee, 2025",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
"Aznarez et al., 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baker et al., 2019",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bara et al., 2022",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benz & Burney, 2021",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bidadian et al., 2025",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bigsby et al., 2014",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Braun et al., 2025",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks et al., 2016",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Browning & Rigolon, 2018",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bruton & Floyd, 2014",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burghardt et al., 2023",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carrier et al., 2016",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casey et al., 2017",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Castillo-Castillo et al., 2025",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"Castro, 2022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chakraborty et al., 2022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chavez et al., 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chen & Hanlon, 2025",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chen et al., 2019a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chen et al., 2019b",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chen et al., 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chen et al., 2024a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chen et al., 2024b",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"Chen, 2024",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheng et al., 2022",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cho & Choi, 2005",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Choi et al., 2020",1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
"Collins et al., 2025",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Comer & Skraastad-Jurney, 2008",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Connolly et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conway et al., 2011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corley, 2024",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cutts et al., 2009",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dai, 2011",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darling et al., 2025",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davis et al., 2012",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dawson et al., 2018",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Devisscher et al., 2023",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialesandro et al., 2021",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ding et al., 2025",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dong & Miller, 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dong et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duncan et al., 2013",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duncan et al., 2014",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elderbrock et al., 2024",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
"Elliott et al., 2019",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elwell Bostrom et al., 2017",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engelberg et al., 2016",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ermagun et al., 2025",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fan et al., 2019",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fang et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferenchak & Barney, 2024",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filazzola et al., 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fleming & Steenberg, 2023",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fleming et al., 2025",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flohr et al., 2024",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fossa et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foster et al., 2024",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Francis et al., 2023",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frank & Wali, 2024",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fraser et al., 2024",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frey, 2017",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaither, 2015",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gao et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garcia et al., 2016",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garrison, 2019",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garrison, 2021",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland et al., 2006",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greene et al., 2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grigsby-Toussaint & Shin, 2022",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grineski et al., 2024",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Guan et al., 2023",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hallum et al., 2024",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harlan et al., 2007",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heckert & Kondo, 2018",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heckert & Rosan, 2016",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heckert, 2013",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heo & Bell, 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holifield & Williams, 2014",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Houston & Zuiga, 2019",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hu et al., 2025",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hughey et al., 2016",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ibes, 2015",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jang & Kim, 2025",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jenerette et al., 2011",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jenerette et al., 2013",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jepson et al., 2025",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jesdale et al., 2013",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joassart-Marcelli, 2010",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson-Gaither, 2011",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Jones et al., 2015",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jung et al., 2024",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kaczynski et al., 2025",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kamel et al., 2014",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Keller et al., 2024",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kiani et al., 2023",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kim et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kim et al., 2024",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kim et al., 2025a",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kim et al., 2025b",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"King & Clarke, 2015",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Kirilenko, 2024",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
"Kitch et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klompmaker et al., 2023",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
"Koehler & Wrightson, 1987",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kolosna & Spurlock, 2019",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Koo et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Landry & Chakraborty, 2009",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Landry et al., 2020",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lanza & Durand, 2021",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lanza et al., 2019",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lara & Garcia, 2018",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Larson et al., 2021",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"Lee & First, 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lee et al., 2023",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Li & Li, 2025",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
"Li & Ping, 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Li et al., 2015",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Li et al., 2016",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Li et al., 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Li et al., 2024a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Li et al., 2024b",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Li et al., 2025",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Li, 2021",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Li, 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limerick et al., 2023",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lin & Guneralp, 2024",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lin & Wang, 2021",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lin et al., 2021",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
